103.181.177.88:443#IN [312.00ms]
195.35.21.37:443#IN [344.00ms]
45.89.105.65:2053#IN [1297.00ms]
185.247.226.138:443#IS [266.00ms]
89.147.111.223:2053#IS [281.00ms]
45.83.21.10:8443#IS [1296.00ms]
113.30.151.151:8443#IT [265.00ms]
132.243.205.69:8443#IT [266.00ms]
132.243.205.63:8443#IT [266.00ms]
132.243.205.81:8443#IT [266.00ms]
132.243.205.57:8443#IT [266.00ms]
132.243.205.87:8443#IT [282.00ms]
185.47.172.172:8443#IT [282.00ms]
132.243.205.93:8443#IT [282.00ms]
216.23.86.110:8443#JP [沧州电信优选高速63.00ms]
54.65.254.1:443#JP [沧州电信优选高速78.00ms]
115.163.106.137:443#JP [沧州电信优选高速78.00ms]
185.200.64.238:2053#JP [78.00ms]
103.201.130.241:443#JP [78.00ms]
47.79.38.36:443#JP [78.00ms]
126.220.82.161:443#JP [78.00ms]
185.200.65.55:443#JP [93.00ms]
151.245.106.81:443#KR [79.00ms]
103.78.133.103:443#KR [141.00ms]
119.205.235.58:443#KR [203.00ms]
130.162.130.105:443#KR [313.00ms]
130.162.132.38:443#KR [313.00ms]
131.186.27.112:2096#KR [329.00ms]
132.145.91.181:8443#KR [344.00ms]
64.110.81.226:443#KR [1313.00ms]
45.43.159.48:8443#KZ [266.00ms]
185.5.74.153:8443#KZ [266.00ms]
185.5.74.129:443#KZ [281.00ms]
213.155.22.139:443#KZ [281.00ms]
109.248.198.178:443#KZ [281.00ms]
109.248.170.245:443#KZ [297.00ms]
213.148.10.170:2053#KZ [297.00ms]
83.97.77.35:2053#KZ [313.00ms]
185.237.185.182:2053#LT [188.00ms]
103.231.72.4:443#LT [234.00ms]
185.80.128.115:8443#LT [234.00ms]
103.113.69.63:443#LT [234.00ms]
62.77.155.238:443#LT [250.00ms]
185.80.129.84:443#LT [250.00ms]
103.231.72.6:8443#LT [250.00ms]
103.231.72.240:443#LT [250.00ms]
185.237.219.224:2087#LV [219.00ms]
217.60.0.239:443#LV [234.00ms]
185.82.126.206:2053#LV [235.00ms]
31.58.77.194:2053#LV [250.00ms]
31.57.29.231:443#LV [265.00ms]
193.124.254.121:443#LV [265.00ms]
185.242.106.92:443#LV [266.00ms]
31.128.33.253:443#LV [266.00ms]
217.156.67.40:443#MD [281.00ms]
185.250.148.240:443#MD [297.00ms]
217.156.65.142:443#MD [312.00ms]
185.216.68.218:8443#MD [312.00ms]
185.163.45.40:443#MD [328.00ms]
217.156.122.254:8443#MD [1328.00ms]
89.185.82.38:8443#MK [235.00ms]
89.185.82.124:8443#MK [250.00ms]
159.54.134.203:443#MX [234.00ms]
216.238.79.83:8443#MX [266.00ms]
131.196.254.84:443#MX [282.00ms]
131.196.254.211:443#MX [297.00ms]
45.170.244.62:443#MX [297.00ms]
131.196.254.151:443#MX [297.00ms]
131.196.254.203:443#MX [313.00ms]
131.196.253.141:443#MX [344.00ms]
47.250.212.59:443#MY [281.00ms]
163.61.103.239:443#MY [390.00ms]
47.250.212.59:2053#MY [1296.00ms]
51.158.204.188:443#NL [172.00ms]
5.255.109.47:443#NL [172.00ms]
152.53.200.71:443#NL [172.00ms]
152.53.200.200:443#NL [172.00ms]
152.53.200.89:8443#NL [172.00ms]
152.53.200.78:8443#NL [172.00ms]
103.137.193.230:443#NL [187.00ms]
152.53.105.182:443#NL [187.00ms]
194.32.107.150:443#NO [297.00ms]
89.185.81.48:443#NO [297.00ms]
195.54.170.66:8443#NO [1234.00ms]
194.5.98.105:8443#NO [1297.00ms]
5.180.22.85:8443#NZ [1329.00ms]
209.146.25.162:443#PH [281.00ms]
38.54.87.66:443#PH [297.00ms]
31.133.0.150:2053#PL [187.00ms]
45.149.63.149:8443#PL [203.00ms]
51.75.32.106:8443#PL [219.00ms]
31.133.0.167:2053#PL [219.00ms]
31.133.0.240:2053#PL [219.00ms]
89.46.235.32:8443#PL [219.00ms]
188.255.163.120:443#PL [234.00ms]
217.182.79.55:443#PL [234.00ms]
185.138.89.45:2053#PT [296.00ms]
5.182.39.243:443#PT [313.00ms]
185.39.30.18:2087#RO [234.00ms]
85.90.196.38:443#RO [235.00ms]
85.120.228.76:443#RO [250.00ms]
85.120.229.131:443#RO [266.00ms]
38.180.205.71:443#RO [281.00ms]
185.104.181.228:443#RO [313.00ms]
5.252.178.146:8443#RO [1344.00ms]
109.71.242.243:8443#RU [203.00ms]
5.183.188.18:8443#RU [203.00ms]
185.72.147.156:8443#RU [218.00ms]
212.109.195.126:2083#RU [219.00ms]
77.246.156.46:8443#RU [219.00ms]
109.71.11.98:2053#RU [234.00ms]
194.87.107.79:443#RU [234.00ms]
185.211.170.101:8443#RU [250.00ms]
121.127.33.246:443#SE [188.00ms]
64.112.127.151:443#SE [203.00ms]
62.182.193.22:443#SE [203.00ms]
185.229.221.92:443#SE [219.00ms]
207.2.120.153:8443#SE [219.00ms]
207.2.120.157:8443#SE [219.00ms]
16.16.45.85:8443#SE [219.00ms]
62.182.194.151:443#SE [219.00ms]
13.212.193.78:443#SG [沧州电信优选高速94.00ms]
52.76.97.123:443#SG [沧州电信优选高速109.00ms]
